NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: Bournedale, Cape Cod Canal (Sta. 200) 
State: MA 
Stationid: 8447191
Prediction Type: Harmonic
From: 20230101 06:19 - 20231231 20:10
Units: Feet and Centimeters
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2023/01/01	Sun	06:19 AM	6.81		208			H
2023/01/01	Sun	12:41 PM	0.27		8			L
2023/01/01	Sun	06:56 PM	5.78		176			H
2023/01/02	Mon	12:53 AM	0.69		21			L
2023/01/02	Mon	07:15 AM	6.80		207			H
2023/01/02	Mon	01:38 PM	0.28		9			L
2023/01/02	Mon	07:54 PM	5.64		172			H
2023/01/03	Tue	01:47 AM	0.87		27			L
2023/01/03	Tue	08:06 AM	6.75		206			H
2023/01/03	Tue	02:31 PM	0.29		9			L
2023/01/03	Tue	08:45 PM	5.53		169			H
2023/01/04	Wed	02:36 AM	1.00		30			L
2023/01/04	Wed	08:52 AM	6.66		203			H
2023/01/04	Wed	03:20 PM	0.33		10			L
2023/01/04	Wed	09:32 PM	5.43		166			H
2023/01/05	Thu	03:24 AM	1.11		34			L
2023/01/05	Thu	09:36 AM	6.57		200			H
2023/01/05	Thu	04:05 PM	0.38		12			L
2023/01/05	Thu	10:16 PM	5.36		163			H
2023/01/06	Fri	04:09 AM	1.17		36			L
2023/01/06	Fri	10:18 AM	6.50		198			H
2023/01/06	Fri	04:48 PM	0.42		13			L
2023/01/06	Fri	10:56 PM	5.33		162			H
2023/01/07	Sat	04:51 AM	1.20		37			L
2023/01/07	Sat	10:57 AM	6.46		197			H
2023/01/07	Sat	05:28 PM	0.46		14			L
2023/01/07	Sat	11:32 PM	5.34		163			H
2023/01/08	Sun	05:32 AM	1.22		37			L
2023/01/08	Sun	11:34 AM	6.43		196			H
2023/01/08	Sun	06:07 PM	0.51		16			L
2023/01/09	Mon	12:07 AM	5.39		164			H
2023/01/09	Mon	06:13 AM	1.24		38			L
2023/01/09	Mon	12:11 PM	6.38		194			H
2023/01/09	Mon	06:47 PM	0.57		17			L
2023/01/10	Tue	12:43 AM	5.46		166			H
2023/01/10	Tue	06:55 AM	1.27		39			L
2023/01/10	Tue	12:48 PM	6.31		192			H
2023/01/10	Tue	07:28 PM	0.67		20			L
2023/01/11	Wed	01:21 AM	5.56		169			H
2023/01/11	Wed	07:41 AM	1.29		39			L
2023/01/11	Wed	01:29 PM	6.18		188			H
2023/01/11	Wed	08:12 PM	0.77		23			L
2023/01/12	Thu	02:02 AM	5.67		173			H
2023/01/12	Thu	08:30 AM	1.28		39			L
2023/01/12	Thu	02:13 PM	6.01		183			H
2023/01/12	Thu	08:57 PM	0.89		27			L
2023/01/13	Fri	02:45 AM	5.80		177			H
2023/01/13	Fri	09:20 AM	1.22		37			L
2023/01/13	Fri	03:01 PM	5.82		177			H
2023/01/13	Fri	09:42 PM	1.02		31			L
2023/01/14	Sat	03:31 AM	5.94		181			H
2023/01/14	Sat	10:10 AM	1.12		34			L
2023/01/14	Sat	03:52 PM	5.62		171			H
2023/01/14	Sat	10:28 PM	1.14		35			L
2023/01/15	Sun	04:19 AM	6.11		186			H
2023/01/15	Sun	11:03 AM	0.98		30			L
2023/01/15	Sun	04:47 PM	5.46		166			H
2023/01/15	Sun	11:17 PM	1.23		37			L
2023/01/16	Mon	05:11 AM	6.30		192			H
2023/01/16	Mon	12:00 PM	0.79		24			L
2023/01/16	Mon	05:48 PM	5.38		164			H
2023/01/17	Tue	12:10 AM	1.24		38			L
2023/01/17	Tue	06:08 AM	6.56		200			H
2023/01/17	Tue	12:57 PM	0.52		16			L
2023/01/17	Tue	06:49 PM	5.43		166			H
2023/01/18	Wed	01:05 AM	1.12		34			L
2023/01/18	Wed	07:06 AM	6.89		210			H
2023/01/18	Wed	01:52 PM	0.19		6			L
2023/01/18	Wed	07:46 PM	5.59		170			H
2023/01/19	Thu	01:59 AM	0.90		27			L
2023/01/19	Thu	08:00 AM	7.24		221			H
2023/01/19	Thu	02:46 PM	-0.14		-4			L
2023/01/19	Thu	08:41 PM	5.80		177			H
2023/01/20	Fri	02:52 AM	0.62		19			L
2023/01/20	Fri	08:54 AM	7.55		230			H
2023/01/20	Fri	03:39 PM	-0.45		-14			L
2023/01/20	Fri	09:35 PM	6.06		185			H
2023/01/21	Sat	03:47 AM	0.30		9			L
2023/01/21	Sat	09:50 AM	7.79		237			H
2023/01/21	Sat	04:31 PM	-0.71		-22			L
2023/01/21	Sat	10:30 PM	6.35		194			H
2023/01/22	Sun	04:40 AM	0.00		0			L
2023/01/22	Sun	10:46 AM	7.94		242			H
2023/01/22	Sun	05:22 PM	-0.88		-27			L
2023/01/22	Sun	11:23 PM	6.66		203			H
2023/01/23	Mon	05:33 AM	-0.23		-7			L
2023/01/23	Mon	11:39 AM	7.95		242			H
2023/01/23	Mon	06:11 PM	-0.92		-28			L
2023/01/24	Tue	12:14 AM	6.91		211			H
2023/01/24	Tue	06:26 AM	-0.34		-10			L
2023/01/24	Tue	12:32 PM	7.79		237			H
2023/01/24	Tue	07:00 PM	-0.81		-25			L
2023/01/25	Wed	01:05 AM	7.08		216			H
2023/01/25	Wed	07:21 AM	-0.32		-10			L
2023/01/25	Wed	01:25 PM	7.46		227			H
2023/01/25	Wed	07:52 PM	-0.59		-18			L
2023/01/26	Thu	01:58 AM	7.13		217			H
2023/01/26	Thu	08:19 AM	-0.22		-7			L
2023/01/26	Thu	02:21 PM	7.03		214			H
2023/01/26	Thu	08:45 PM	-0.29		-9			L
2023/01/27	Fri	02:52 AM	7.09		216			H
2023/01/27	Fri	09:17 AM	-0.08		-2			L
2023/01/27	Fri	03:18 PM	6.55		200			H
2023/01/27	Fri	09:38 PM	0.05		2			L
2023/01/28	Sat	03:47 AM	6.96		212			H
2023/01/28	Sat	10:14 AM	0.11		3			L
2023/01/28	Sat	04:17 PM	6.08		185			H
2023/01/28	Sat	10:31 PM	0.42		13			L
2023/01/29	Sun	04:44 AM	6.78		207			H
2023/01/29	Sun	11:12 AM	0.32		10			L
2023/01/29	Sun	05:20 PM	5.69		173			H
2023/01/29	Sun	11:26 PM	0.77		23			L
2023/01/30	Mon	05:44 AM	6.59		201			H
2023/01/30	Mon	12:11 PM	0.49		15			L
2023/01/30	Mon	06:27 PM	5.43		166			H
2023/01/31	Tue	12:23 AM	1.03		31			L
2023/01/31	Tue	06:45 AM	6.47		197			H
2023/01/31	Tue	01:10 PM	0.59		18			L
2023/01/31	Tue	07:29 PM	5.31		162			H
2023/02/01	Wed	01:19 AM	1.18		36			L
2023/02/01	Wed	07:40 AM	6.41		195			H
2023/02/01	Wed	02:05 PM	0.64		20			L
2023/02/01	Wed	08:22 PM	5.26		160			H
2023/02/02	Thu	02:11 AM	1.24		38			L
2023/02/02	Thu	08:29 AM	6.37		194			H
2023/02/02	Thu	02:55 PM	0.65		20			L
2023/02/02	Thu	09:09 PM	5.24		160			H
2023/02/03	Fri	02:59 AM	1.25		38			L
2023/02/03	Fri	09:14 AM	6.35		194			H
2023/02/03	Fri	03:42 PM	0.63		19			L
2023/02/03	Fri	09:52 PM	5.26		160			H
2023/02/04	Sat	03:45 AM	1.21		37			L
2023/02/04	Sat	09:56 AM	6.35		194			H
2023/02/04	Sat	04:24 PM	0.59		18			L
2023/02/04	Sat	10:31 PM	5.33		162			H
2023/02/05	Sun	04:29 AM	1.14		35			L
2023/02/05	Sun	10:36 AM	6.37		194			H
2023/02/05	Sun	05:04 PM	0.55		17			L
2023/02/05	Sun	11:07 PM	5.44		166			H
2023/02/06	Mon	05:10 AM	1.07		33			L
2023/02/06	Mon	11:13 AM	6.38		194			H
2023/02/06	Mon	05:41 PM	0.53		16			L
2023/02/06	Mon	11:40 PM	5.59		170			H
2023/02/07	Tue	05:50 AM	1.00		30			L
2023/02/07	Tue	11:48 AM	6.37		194			H
2023/02/07	Tue	06:19 PM	0.56		17			L
2023/02/08	Wed	12:14 AM	5.76		176			H
2023/02/08	Wed	06:30 AM	0.96		29			L
2023/02/08	Wed	12:24 PM	6.32		193			H
2023/02/08	Wed	06:56 PM	0.63		19			L
2023/02/09	Thu	12:48 AM	5.93		181			H
2023/02/09	Thu	07:12 AM	0.93		28			L
2023/02/09	Thu	01:02 PM	6.22		190			H
2023/02/09	Thu	07:36 PM	0.76		23			L
2023/02/10	Fri	01:25 AM	6.08		185			H
2023/02/10	Fri	07:58 AM	0.90		27			L
2023/02/10	Fri	01:43 PM	6.06		185			H
2023/02/10	Fri	08:19 PM	0.91		28			L
2023/02/11	Sat	02:06 AM	6.21		189			H
2023/02/11	Sat	08:47 AM	0.86		26			L
2023/02/11	Sat	02:29 PM	5.87		179			H
2023/02/11	Sat	09:03 PM	1.05		32			L
2023/02/12	Sun	02:51 AM	6.32		193			H
2023/02/12	Sun	09:38 AM	0.80		24			L
2023/02/12	Sun	03:20 PM	5.66		173			H
2023/02/12	Sun	09:51 PM	1.18		36			L
2023/02/13	Mon	03:40 AM	6.42		196			H
2023/02/13	Mon	10:31 AM	0.74		23			L
2023/02/13	Mon	04:15 PM	5.47		167			H
2023/02/13	Mon	10:42 PM	1.26		38			L
2023/02/14	Tue	04:35 AM	6.51		198			H
2023/02/14	Tue	11:29 AM	0.65		20			L
2023/02/14	Tue	05:16 PM	5.35		163			H
2023/02/14	Tue	11:38 PM	1.25		38			L
2023/02/15	Wed	05:37 AM	6.65		203			H
2023/02/15	Wed	12:29 PM	0.48		15			L
2023/02/15	Wed	06:22 PM	5.38		164			H
2023/02/16	Thu	12:39 AM	1.11		34			L
2023/02/16	Thu	06:42 AM	6.89		210			H
2023/02/16	Thu	01:29 PM	0.22		7			L
2023/02/16	Thu	07:25 PM	5.58		170			H
2023/02/17	Fri	01:38 AM	0.83		25			L
2023/02/17	Fri	07:43 AM	7.20		219			H
2023/02/17	Fri	02:25 PM	-0.08		-2			L
2023/02/17	Fri	08:23 PM	5.89		180			H
2023/02/18	Sat	02:35 AM	0.47		14			L
2023/02/18	Sat	08:40 AM	7.47		228			H
2023/02/18	Sat	03:19 PM	-0.38		-12			L
2023/02/18	Sat	09:18 PM	6.25		190			H
2023/02/19	Sun	03:31 AM	0.09		3			L
2023/02/19	Sun	09:37 AM	7.67		234			H
2023/02/19	Sun	04:11 PM	-0.63		-19			L
2023/02/19	Sun	10:12 PM	6.63		202			H
2023/02/20	Mon	04:25 AM	-0.26		-8			L
2023/02/20	Mon	10:32 AM	7.76		237			H
2023/02/20	Mon	05:01 PM	-0.78		-24			L
2023/02/20	Mon	11:04 PM	6.99		213			H
2023/02/21	Tue	05:18 AM	-0.52		-16			L
2023/02/21	Tue	11:25 AM	7.73		236			H
2023/02/21	Tue	05:48 PM	-0.80		-24			L
2023/02/21	Tue	11:53 PM	7.26		221			H
2023/02/22	Wed	06:09 AM	-0.62		-19			L
2023/02/22	Wed	12:15 PM	7.53		230			H
2023/02/22	Wed	06:35 PM	-0.65		-20			L
2023/02/23	Thu	12:41 AM	7.38		225			H
2023/02/23	Thu	07:01 AM	-0.57		-17			L
2023/02/23	Thu	01:06 PM	7.19		219			H
2023/02/23	Thu	07:24 PM	-0.36		-11			L
2023/02/24	Fri	01:30 AM	7.34		224			H
2023/02/24	Fri	07:55 AM	-0.39		-12			L
2023/02/24	Fri	01:57 PM	6.75		206			H
